[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3918449895.09683,03/01/2024,10:17 am
BYAPP,SQUID AC,0.9.1.1
INFO,MPMS3 Measurement Release 1.1.17 Build 99, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1291,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM360,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC246,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI371,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Synt_Hematite,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,35.39,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.34,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,LS Wavelength (nm),LS Status (code),VSDO 03,VSDO 04,VSDO 05,VSDO 06,VSDO 07,VSDO 08,VSDO 09,VSDO 10,VSDO 11,VSDO 12,VSDO 13,VSDO 14,VSDO 15,VSDO 16,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3918450616.84202,300.000732421875,70000.25,0.0597729135944708,8.08005934697749e-06,1,2,11.9032497406006,5.0046409483316,36.2000018358231,81.9033168833797,11.6471354345957,100,4.11318963973992e-05,,,,,,,,,,,,,,,,,,,,,300.000732421875,300.000732421875,70000.25,70000.25,48.6165122676398,4.91371257174313,9.35252571105957,24,1,0,0,1,0.239486694335938,32.2580642700195,1,4,1,300.000732421875,0,3158316864,300.000732421875,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918450620.53596,300.000305175781,70000.2265625,0.0597774849025446,9.12248383340015e-06,1,2,11.9032497406006,5.00435040100385,36.2000018358231,81.9030054956168,11.6466274054873,100,4.07837402993404e-05,,,,,,,,,,,,,,,,,,,,,300.000305175781,300.000305175781,70000.2265625,70000.2265625,48.5700053707455,4.91472699526016,9.34251403808594,24,1,0,0,1,0.2349853515625,32.2580642700195,1,6,1,300.000305175781,0,3158316640,300.000305175781,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918450622.90685,300.000213623047,69787.765625,0.0596662610173977,1.16776289763607e-05,1,2,11.9032497406006,5.0043232524596,36.2000018358231,81.7643517390731,11.5234384072918,100,-3.76759805330188e-05,,,,,,,,,,,,,,,,,,,,,300.000061035156,300.000366210937,69683.2578125,69892.2734375,48.571568627784,4.91468077645478,9.35369968414307,22,1,68,0,0,0.23681640625,31.2805480957031,1,6,1,300.000061035156,0,3158316800,300.000213623047,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918450625.57639,300.000381469727,69524.0625,0.0595185744048662,1.14163654501489e-05,1,2,11.9032497406006,5.00451026538708,36.2000018358231,81.5642518255324,11.5094453961211,100,-2.68183410799816e-05,,,,,,,,,,,,,,,,,,,,,300.000366210937,300.000396728516,69494.21875,69553.90625,48.7927694987263,4.91421893306362,9.34497928619385,21,1,68,0,0,0.238037109375,32.7468223571777,1,6,1,300.000366210937,0,3158316800,300.000381469727,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918450627.55209,300.000381469727,69325.00390625,0.0593808967833256,1.01419865292094e-05,1,2,11.9032497406006,5.00451026538708,36.2000018358231,81.3778490891096,11.4667796226507,100,-3.91528184184323e-05,,,,,,,,,,,,,,,,,,,,,300.000335693359,300.000427246094,69295.1171875,69354.890625,48.6989740764186,4.91421893306362,9.34332180023193,20,1,68,0,0,0.23712158203125,32.7468223571777,1,6,1,300.000427246094,0,3158316640,300.000381469727,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918450629.54247,300.000747680664,69130.75,0.0592321185891403,1.27853266564366e-05,1,2,11.9032497406006,5.00440217597242,36.2100005149841,81.17101029924,11.4412338697678,100,-3.63275791810971e-05,,,,,,,,,,,,,,,,,,,,,300.000579833984,300.000915527344,69095.9140625,69165.5859375,48.7701022716686,4.91531198668,9.35327625274658,20,1,68,0,0,0.237579345703125,35.6793746948242,1,6,1,300.000915527344,0,3158316352,300.000747680664,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918450631.58324,300.000671386719,68931.65625,0.0590897080922639,1.18979910310633e-05,1,2,11.9032497406006,5.00440217597242,36.2000018358231,80.9767351864308,11.4074905021257,100,-4.10587744128322e-05,,,,,,,,,,,,,,,,,,,,,300.000610351562,300.000732421875,68896.875,68966.4375,48.739227945159,4.91531198668,9.35559368133545,18,1,68,0,0,0.237503051757813,30.7917900085449,1,6,1,300.000610351562,0,3158316640,300.000671386719,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918450633.63411,299.999908447266,68717.4296875,0.0589460721054881,1.20653779486668e-05,1,2,11.9032497406006,5.00420965442835,36.2000018358231,80.7756039797453,11.3788162897664,100,-4.12166758883868e-05,,,,,,,,,,,,,,,,,,,,,299.999877929687,299.999938964844,68687.4453125,68747.4140625,48.7970684555821,4.91574129074552,9.34829425811768,22,1,68,0,0,0.238723754882813,32.7468223571777,1,6,1,299.999877929687,0,3158316704,299.999908447266,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918450635.56913,300.000106811523,68528.046875,0.0588038808303521,1.43962721130183e-05,1,2,11.9032497406006,5.00400854587203,36.2000018358231,80.5760938314769,11.351714641636,100,-4.03570565369404e-05,,,,,,,,,,,,,,,,,,,,,300.000061035156,300.000152587891,68488.234375,68567.859375,48.7462626018321,4.91687503716184,9.34552383422852,22,1,68,0,0,0.237884521484375,33.2355842590332,1,6,1,300.000061035156,0,3158316544,300.000106811523,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918450637.63034,299.999954223633,68324.0234375,0.0586519001683775,1.44305391693107e-05,1,2,11.9032497406006,5.00400854587203,36.2000018358231,80.3674040762138,11.3254706084103,100,-3.78608890602974e-05,,,,,,,,,,,,,,,,,,,,,299.999908447266,300,68289.1484375,68358.8984375,48.7634584292552,4.91687503716184,9.35164165496826,21,1,68,0,0,0.235137939453125,32.7468223571777,1,6,1,299.999908447266,0,3158316224,299.999954223633,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
