[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3933153233.45346,08/18/2024,1:31 pm
BYAPP,SQUID AC,0.9.1.1
INFO,MPMS3 Measurement Release 1.1.17 Build 99, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1291,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM360,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC246,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI371,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Magnetite Standard,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,3.32,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.12,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,LS Wavelength (nm),LS Status (code),VSDO 03,VSDO 04,VSDO 05,VSDO 06,VSDO 07,VSDO 08,VSDO 09,VSDO 10,VSDO 11,VSDO 12,VSDO 13,VSDO 14,VSDO 15,VSDO 16,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3933153960.20608,299.998931884766,69999.80859375,0.263753338910448,3.04147203045548E-5,1,2,11.9032497406006,4.98239333894515,35.3100001811981,339.201725963942,48.0946355772051,1000,6.3281547586027E-5,,,,,,,,,,,,,,,,,,,,,299.998931884766,299.998931884766,69999.796875,69999.8203125,48.7177331608802,4.98678157122743,9.83312892913818,24,1,0,0,1,0.23529052734375,32.2580642700195,1,4,1,299.998931884766,0,3158316640,299.998931884766,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933153963.82614,299.999389648438,69999.7109375,0.263811178523737,4.23277956197718E-5,1,2,11.9032497406006,4.98102621406234,35.3100001811981,339.148107585046,48.068803560553,1000,4.93946309609854E-5,,,,,,,,,,,,,,,,,,,,,299.999389648438,299.999389648438,69999.7109375,69999.7109375,48.5719594420436,4.9926327417241,9.82175636291504,24,1,0,0,1,0.237045288085938,32.2580642700195,1,6,1,299.999389648438,0,3158316576,299.999389648438,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933153966.13605,299.999862670898,69792.3671875,0.263835068902113,4.01381049839702E-5,1,2,11.9032497406006,4.98086441742181,35.3100001811981,339.184167581359,47.9240269791039,1000,-6.49021973741203E-5,,,,,,,,,,,,,,,,,,,,,299.999572753906,300.000152587891,69692.84375,69891.890625,48.7603319151782,4.99307235485576,9.82429313659668,24,1,0,0,1,0.244598388671875,32.7468223571777,1,6,1,300.000152587891,0,3158316480,299.999862670898,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933153968.8264,300,69528.6015625,0.263786164327558,3.78352656996709E-5,1,2,11.9032497406006,4.98100706951661,35.3100001811981,339.112999799792,48.0719161261683,1000,5.5557856280524E-5,,,,,,,,,,,,,,,,,,,,,299.999877929687,300.000122070313,69493.7734375,69563.4296875,48.6430876372936,4.99275900015374,9.82490730285645,24,1,0,0,1,0.239486694335938,31.7693061828613,1,6,1,300.000122070313,0,3158316416,300,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933153970.83398,300.00016784668,69324.56640625,0.263848892792337,2.22704133476685E-5,1,2,11.9032497406006,4.98019205761845,35.3100001811981,339.114061763057,48.0846176386817,1000,6.51439752584463E-5,,,,,,,,,,,,,,,,,,,,,300.000030517578,300.000305175781,69284.71875,69364.4140625,48.6454325228513,4.99605344825886,9.82074546813965,24,1,0,0,1,0.235748291015625,32.7468223571777,1,6,1,300.000305175781,0,3158316640,300.00016784668,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933153972.84959,300.000366210937,69125.3828125,0.263798631520594,2.97505980814249E-5,1,2,11.9032497406006,4.98019205761845,35.3100001811981,339.047331394507,48.0905178666723,1000,7.68486375606826E-5,,,,,,,,,,,,,,,,,,,,,300.000335693359,300.000396728516,69095.5,69155.265625,48.6266734383898,4.99605344825886,9.82990455627441,24,1,0,0,1,0.2362060546875,32.2580642700195,1,6,1,300.000335693359,0,3158316608,300.000366210937,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933153974.86781,300.000091552734,68926.234375,0.263824951616578,4.12315047465578E-5,1,2,11.9032497406006,4.97987259942315,35.3100001811981,339.054231445127,48.0656912870111,1000,5.71724895616007E-5,,,,,,,,,,,,,,,,,,,,,299.999908447266,300.000274658203,68896.4140625,68956.0546875,48.8123102117071,4.99747653684837,9.83376693725586,24,1,0,0,1,0.248031616210938,30.7917900085449,1,6,1,299.999908447266,0,3158316576,300.000091552734,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933153976.8762,300.000183105469,68721.97265625,0.263800469762461,3.2004267387466E-5,1,2,11.9032497406006,4.97987259942315,35.3100001811981,339.01686064185,48.1029708687219,1000,8.96448302089307E-5,,,,,,,,,,,,,,,,,,,,,300.000122070313,300.000244140625,68686.984375,68756.9609375,48.7501707444282,4.99747653684837,9.82480144500732,24,1,0,0,1,0.241546630859375,32.2580642700195,1,6,1,300.000122070313,0,3158316448,300.000183105469,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933153978.91916,300.000045776367,68522.69921875,0.263768625020835,3.50581968185535E-5,1,2,11.9032497406006,4.98001778026865,35.3100001811981,338.989824989345,48.0989410156177,1000,8.9486207725531E-5,,,,,,,,,,,,,,,,,,,,,300.000030517578,300.000061035156,68487.859375,68557.5390625,48.6149490106013,4.99711811244101,9.82330131530762,22,1,68,0,0,0.240631103515625,31.7693061828613,1,6,1,300.000061035156,0,3158316608,300.000045776367,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933153980.89459,300.000244140625,68323.546875,0.263766211766834,4.49252745190337E-5,1,2,11.9032497406006,4.97976594551162,35.3100001811981,338.962884041145,48.0936353092695,1000,8.83540946138861E-5,,,,,,,,,,,,,,,,,,,,,300.000091552734,300.000396728516,68288.6875,68358.40625,48.7986317126205,4.99805471582485,9.82535552978516,24,1,0,0,1,0.242691040039062,32.2580642700195,1,6,1,300.000396728516,0,3158316416,300.000244140625,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
