 [Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3933076556.45049,08/17/2024,4:13 pm
BYAPP,SQUID AC,0.9.1.1
INFO,MPMS3 Measurement Release 1.1.17 Build 99, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1291,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM360,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC246,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI371,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Magnetite Standard,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,3.32,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.12,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time.Stamp..sec.,Temperature..K.,Magnetic.Field..Oe.,Moment..emu.,M..Std..Err...emu.,Transport.Action,Averaging.Time..sec.,Frequency..Hz.,Peak.Amplitude..mm.,Center.Position..mm.,Lockin.Signal...V.,Lockin.Signal..V.,Range,M..Quad..Signal..emu.,AC.Moment..emu.,AC.M..Std.Err...emu.,AC.Phase..deg.,AC.Phase.Std..Err...deg.,AC.Susceptibility..emu.Oe.,AC.Suscept..Std.Err...emu.Oe.,AC.X...emu.Oe.,AC.X..Std.Err...emu.Oe.,AC.X....emu.Oe.,AC.X...Std.Err...emu.Oe.,AC.Drive..Oe.,AC.Frequency..Hz.,AC.Averaging.Time..sec.,AC.Cycles,AC.Range,AC.Measure.Type,AC.Signal...V.,AC.Signal....V.,AC.Trim.Coil.Ratio,AC.Trim.Coil.Phase,Min..Temperature..K.,Max..Temperature..K.,Min..Field..Oe.,Max..Field..Oe.,Mass..grams.,Motor.Lag..deg.,Pressure..Torr.,Measure.Count,Measurement.Number,SQUID.Status..code.,Motor.Status..code.,Measure.Status..code.,Motor.Current..amps.,Motor.Temp...C.,Temp..Status..code.,Field.Status..code.,Chamber.Status..code.,Chamber.Temp..K.,Redirection.State,Evercool.Status,Average.Temp..K.,Rotation.Angle..deg.,Rotator.state,DC.Moment.Fixed.Ctr..emu.,DC.Moment.Err.Fixed.Ctr..emu.,DC.Moment.Free.Ctr..emu.,DC.Moment.Err.Free.Ctr..emu.,DC.Fixed.Fit,DC.Free.Fit,DC.Calculated.Center..mm.,DC.Calculated.Center.Err..mm.,DC.Scan.Length..mm.,DC.Scan.Time..s.,DC.Number.of.Points,DC.Squid.Drift,DC.Min.V..V.,DC.Max.V..V.,DC.Scans.per.Measure,LS.Wavelength..nm.,LS.Status..code.,VSDO.03,VSDO.04,VSDO.05,VSDO.06,VSDO.07,VSDO.08,VSDO.09,VSDO.10,VSDO.11,VSDO.12,VSDO.13,VSDO.14,VSDO.15,VSDO.16,Map.01,Map.02,Map.03,Map.04,Map.05,Map.06,Map.07,Map.08,Map.09,Map.10,Map.11,Map.12,Map.13,Map.14,Map.15,Map.16
,3933077707.93665,299.999938964844,0,0.0353931209087973,4.87174684014583e-06,1,2,11.9032497406006,4.99246186334194,35.3100001811981,45.6450492751994,6.48202881650126,100,1.61853318433156e-05,,,,,,,,,,,,,,,,,,,,,299.999938964844,299.999938964844,0,0,48.8287244106109,4.91022791864703,9.09350490570068,24,1,0,0,1,0.232772827148438,32.2580642700195,1,1,1,299.999938964844,0,3158316256,299.999938964844,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933077899.00972,296.02458190918,0,0.0354026158901007,6.27762356378248e-06,1,2,11.9032497406006,4.9800780073568,35.3100001811981,45.5005713444328,6.44802698526553,100,5.90469685648635e-06,,,,,,,,,,,,,,,,,,,,,296.019226074219,296.029937744141,0,0,48.8607711798994,4.96126854868647,9.11824035644531,24,1,0,0,1,0.240707397460938,31.2805480957031,1,1,1,296.019226074219,0,3158316416,296.02458190918,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933078092.81582,292.187835693359,0,0.035428663397088,4.83908396318478e-06,1,2,11.9032497406006,4.97740696061738,35.2899990975857,45.4983159384465,6.45831566142951,100,1.40066301737878e-05,,,,,,,,,,,,,,,,,,,,,292.184875488281,292.190795898438,0,0,48.7572054011013,4.97289493745248,9.14128112792969,24,1,0,0,1,0.24139404296875,33.2355842590332,1,1,1,292.184875488281,0,3158316800,292.187835693359,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933078290.57699,288.210662841797,0,0.0354485400133858,6.14669458385373e-06,1,2,11.9032497406006,4.9763468909155,35.2700017392635,45.5106754695947,6.4568958307519,100,1.15908777025152e-05,,,,,,,,,,,,,,,,,,,,,288.208557128906,288.212768554687,0,0,48.8736680504667,4.97227681460628,9.14095401763916,24,1,0,0,1,0.238113403320313,33.2355842590332,1,1,1,288.208557128906,0,3158316832,288.210662841797,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933078489.40243,284.23567199707,0,0.0354748176422655,5.05238884691086e-06,1,2,11.9032497406006,4.98598417043456,35.2500006556511,45.6696727768141,6.46849834673397,100,3.25723132838291e-06,,,,,,,,,,,,,,,,,,,,,284.231475830078,284.239868164062,0,0,48.8435753524763,4.97213656726484,9.13949489593506,24,1,0,0,1,0.235671997070313,33.2355842590332,1,1,1,284.231475830078,0,3158316704,284.23567199707,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933078687.17337,280.133804321289,0,0.0354713138478542,5.39063038815926e-06,1,2,11.9032497406006,4.98528187324013,35.2299995720386,45.6565984600985,6.46341119302136,100,7.92724290049112e-07,,,,,,,,,,,,,,,,,,,,,280.126190185547,280.141418457031,0,0,48.8838292212167,4.97698516050806,9.1259298324585,24,1,0,0,1,0.2459716796875,33.2355842590332,1,1,1,280.126190185547,0,3158316832,280.133804321289,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933078884.51981,276.309234619141,0,0.0354789786412858,5.74524915016872e-06,1,2,11.9032497406006,4.98391971963765,35.2099984884262,45.648602007289,6.46498773486896,100,2.85666831590133e-06,,,,,,,,,,,,,,,,,,,,,276.304901123047,276.313568115234,0,0,48.8920363206686,4.97850945724887,9.10019683837891,24,1,0,0,1,0.23712158203125,32.7468223571777,1,1,1,276.304901123047,0,3158316672,276.309234619141,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933079082.24068,272.321380615234,0,0.035478728646674,5.21591917372088e-06,1,2,11.9032497406006,4.98451502853927,35.2200008928776,45.6562311025761,6.46384540590442,100,1.16329848457364e-06,,,,,,,,,,,,,,,,,,,,,272.316619873047,272.326141357422,0,0,48.8084020691109,4.97893533960174,9.09060859680176,24,1,0,0,1,0.237045288085938,34.2131004333496,1,1,1,272.316619873047,0,3158316800,272.321380615234,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933079278.04574,268.350814819336,0,0.0354650390451497,3.59305684873395e-06,1,2,11.9032497406006,4.98403256989235,35.1900011301041,45.6323443715725,6.46103219502277,100,1.59606596086103e-06,,,,,,,,,,,,,,,,,,,,,268.346954345703,268.354675292969,0,0,48.8506100091494,4.97969501869089,9.07713222503662,24,1,0,0,1,0.237503051757813,33.7243423461914,1,1,1,268.346954345703,0,3158316640,268.350814819336,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933079475.79306,264.252410888672,0,0.0354498391058051,5.63683619490251e-06,1,2,11.9032497406006,4.98392784399205,35.1799987256527,45.6116123709414,6.45687952790009,100,6.67914533470806e-07,,,,,,,,,,,,,,,,,,,,,264.247009277344,264.2578125,0,0,48.8506100091494,4.98071815729324,9.04608535766602,24,1,0,0,1,0.235443115234375,33.7243423461914,1,1,1,264.247009277344,0,3158317088,264.252410888672,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
