[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3933106246.22613,08/18/2024,12:27 am
BYAPP,SQUID AC,0.9.1.1
INFO,MPMS3 Measurement Release 1.1.17 Build 99, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1291,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM360,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC246,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI371,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Magnetite Standard,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,3.32,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.12,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time.Stamp..sec.,Temperature..K.,Magnetic.Field..Oe.,Moment..emu.,M..Std..Err...emu.,Transport.Action,Averaging.Time..sec.,Frequency..Hz.,Peak.Amplitude..mm.,Center.Position..mm.,Lockin.Signal...V.,Lockin.Signal..V.,Range,M..Quad..Signal..emu.,AC.Moment..emu.,AC.M..Std.Err...emu.,AC.Phase..deg.,AC.Phase.Std..Err...deg.,AC.Susceptibility..emu.Oe.,AC.Suscept..Std.Err...emu.Oe.,AC.X...emu.Oe.,AC.X..Std.Err...emu.Oe.,AC.X....emu.Oe.,AC.X...Std.Err...emu.Oe.,AC.Drive..Oe.,AC.Frequency..Hz.,AC.Averaging.Time..sec.,AC.Cycles,AC.Range,AC.Measure.Type,AC.Signal...V.,AC.Signal....V.,AC.Trim.Coil.Ratio,AC.Trim.Coil.Phase,Min..Temperature..K.,Max..Temperature..K.,Min..Field..Oe.,Max..Field..Oe.,Mass..grams.,Motor.Lag..deg.,Pressure..Torr.,Measure.Count,Measurement.Number,SQUID.Status..code.,Motor.Status..code.,Measure.Status..code.,Motor.Current..amps.,Motor.Temp...C.,Temp..Status..code.,Field.Status..code.,Chamber.Status..code.,Chamber.Temp..K.,Redirection.State,Evercool.Status,Average.Temp..K.,Rotation.Angle..deg.,Rotator.state,DC.Moment.Fixed.Ctr..emu.,DC.Moment.Err.Fixed.Ctr..emu.,DC.Moment.Free.Ctr..emu.,DC.Moment.Err.Free.Ctr..emu.,DC.Fixed.Fit,DC.Free.Fit,DC.Calculated.Center..mm.,DC.Calculated.Center.Err..mm.,DC.Scan.Length..mm.,DC.Scan.Time..s.,DC.Number.of.Points,DC.Squid.Drift,DC.Min.V..V.,DC.Max.V..V.,DC.Scans.per.Measure,LS.Wavelength..nm.,LS.Status..code.,VSDO.03,VSDO.04,VSDO.05,VSDO.06,VSDO.07,VSDO.08,VSDO.09,VSDO.10,VSDO.11,VSDO.12,VSDO.13,VSDO.14,VSDO.15,VSDO.16,Map.01,Map.02,Map.03,Map.04,Map.05,Map.06,Map.07,Map.08,Map.09,Map.10,Map.11,Map.12,Map.13,Map.14,Map.15,Map.16
,3933107563.97259,9.99943161010742,0,0.0350594457192026,0.000177420406703398,1,2,11.9032497406006,5.01250671207004,34.3899987637997,45.4456580216062,6.61828636714066,100,0.000140421751139676,,,,,,,,,,,,,,,,,,,,,9.99943161010742,9.99943161010742,0,0,48.6825598775148,4.98635988663771,6.46014738082886,24,1,0,0,1,0.233078002929687,32.2580642700195,1,1,1,9.99943161010742,0,3158316384,9.99943161010742,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933107757.3048,13.9723815917969,0,0.0383122879195353,4.57292903693338e-06,1,2,11.9032497406006,4.98053038567422,34.3800000846386,49.2434921543462,6.99975270461325,100,2.26382025718328e-05,,,,,,,,,,,,,,,,,,,,,13.9723081588745,13.9724550247192,0,0,48.851000823409,4.99440473908826,6.81765270233154,24,1,0,0,1,0.237045288085938,33.7243423461914,1,1,1,13.9723081588745,0,3158316576,13.9723815917969,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933107943.53824,17.945237159729,0,0.0379024103767073,6.59061043307469e-06,1,2,11.9032497406006,4.98070574939762,34.3800000846386,48.7202312800004,6.91703800914617,100,1.60396839103888e-05,,,,,,,,,,,,,,,,,,,,,17.9451770782471,17.9452972412109,0,0,48.7579870296205,4.99398686084087,7.03637790679932,24,1,0,0,1,0.250473022460938,33.2355842590332,1,1,1,17.9451770782471,0,3158316576,17.945237159729,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933108132.83438,21.9179258346558,0,0.037479914689832,7.0702900633355e-06,1,2,11.9032497406006,4.98025792298796,34.3800000846386,48.1710970920352,6.83891350504107,100,1.57378180310792e-05,,,,,,,,,,,,,,,,,,,,,21.9178810119629,21.9179706573486,0,0,48.7872980990917,4.99464253208653,7.17551136016846,24,1,0,0,1,0.2386474609375,32.7468223571777,1,1,1,21.9179706573486,0,3158316704,21.9179258346558,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933108324.24127,25.8904657363892,0,0.0370925230821385,6.23806102075761e-06,1,2,11.9032497406006,4.98895842432697,34.3800000846386,47.7902149655676,6.78303609355278,100,1.42033295857297e-05,,,,,,,,,,,,,,,,,,,,,25.8904590606689,25.8904724121094,0,0,48.8939903919667,5.00023687456537,7.29293870925903,24,1,0,0,1,0.241928100585938,34.7018585205078,1,1,1,25.8904590606689,0,3158316736,25.8904657363892,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933108517.40424,29.8629131317139,0,0.0367109788359242,4.88450809919199e-06,1,2,11.9032497406006,4.98996385117893,34.3800000846386,47.3095331101835,6.73243667775523,100,2.74633738650378e-05,,,,,,,,,,,,,,,,,,,,,29.8628273010254,29.8629989624023,0,0,48.8228621967167,4.99624693079907,7.37996673583984,24,1,0,0,1,0.239791870117187,33.7243423461914,1,1,1,29.8629989624023,0,3158316736,29.8629131317139,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933108711.25709,33.8352375030518,0,0.0363696664311488,5.22012086613249e-06,1,2,11.9032497406006,4.99098298583345,34.3800000846386,46.8846993267309,6.66034172732973,100,1.83586504008391e-05,,,,,,,,,,,,,,,,,,,,,33.8351936340332,33.8352813720703,0,0,48.7243770032936,4.9938679214038,7.48733329772949,24,1,0,0,1,0.24658203125,32.7468223571777,1,1,1,33.8352813720703,0,3158316672,33.8352375030518,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933108904.9624,37.8068943023682,0,0.0360336779744444,5.63923524747255e-06,1,2,11.9032497406006,4.99031699048405,34.3899987637997,46.4419042831563,6.60457484676167,100,2.36158785287146e-05,,,,,,,,,,,,,,,,,,,,,37.8066368103027,37.8071517944336,0,0,48.6559845078609,4.99547823994025,7.53266382217407,24,1,0,0,1,0.24200439453125,32.7468223571777,1,1,1,37.8071517944336,0,3158316640,37.8068943023682,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933109100.25901,41.7783260345459,0,0.035726212365042,6.29304946220126e-06,1,2,11.9032497406006,4.98845593899828,34.3899987637997,46.0214288198925,6.54590565012058,100,2.42721133184344e-05,,,,,,,,,,,,,,,,,,,,,41.7779083251953,41.7787437438965,0,0,48.7790909996398,4.99823968299873,7.60587406158447,24,1,0,0,1,0.245437622070313,33.2355842590332,1,1,1,41.7787437438965,0,3158316704,41.7783260345459,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933109298.05278,45.7487449645996,0,0.0354370521802074,5.53658807510271e-06,1,2,11.9032497406006,4.991180845053,34.3899987637997,45.685187325374,6.48849724231715,100,1.67897026792813e-05,,,,,,,,,,,,,,,,,,,,,45.7483901977539,45.7490997314453,0,0,48.6505131082263,4.9911233687229,7.69791555404663,24,1,0,0,1,0.241317749023438,33.7243423461914,1,1,1,45.7490997314453,0,3158316736,45.7487449645996,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933109497.41561,49.7183017730713,0,0.0351360250308407,5.81017800993559e-06,1,2,11.9032497406006,4.99104704445006,34.400001168251,45.2964918330359,6.42546373217832,100,1.06944901618899e-05,,,,,,,,,,,,,,,,,,,,,49.7174873352051,49.7191162109375,0,0,48.8424029096975,4.99379439129318,7.77457046508789,24,1,0,0,1,0.241851806640625,31.7693061828613,1,1,1,49.7191162109375,0,3158316800,49.7183017730713,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933109695.20053,53.6867294311523,0,0.0348553917406535,5.10475447365871e-06,1,2,11.9032497406006,4.99000312809727,34.400001168251,44.9215545043446,6.37224298862036,100,1.05827637677463e-05,,,,,,,,,,,,,,,,,,,,,53.6858100891113,53.6876487731934,0,0,48.7396187594186,4.99587328053815,7.8987398147583,24,1,0,0,1,0.245742797851562,33.2355842590332,1,1,1,53.6876487731934,0,3158316704,53.6867294311523,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933109893.42276,57.6543388366699,0,0.034560093784119,5.23883721384168e-06,1,2,11.9032497406006,4.99097912424572,34.4099998474121,44.5519238740827,6.32880208964431,100,1.73308043946611e-05,,,,,,,,,,,,,,,,,,,,,57.6535873413086,57.6550903320312,0,0,48.8635068797167,4.99159932020783,7.97030353546143,24,1,0,0,1,0.24658203125,33.2355842590332,1,1,1,57.6550903320312,0,3158316608,57.6543388366699,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933110092.26412,61.6220035552979,0,0.0342621227724853,3.68881307366501e-06,1,2,11.9032497406006,4.99006288530574,34.4099998474121,44.1574106017748,6.2658684480791,100,1.19400511120273e-05,,,,,,,,,,,,,,,,,,,,,61.6204147338867,61.623592376709,0,0,48.7970684555821,4.99580059237615,7.9732551574707,24,1,0,0,1,0.246047973632813,33.2355842590332,1,1,1,61.623592376709,0,3158316736,61.6220035552979,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
