[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3932813607.07734,08/14/2024,3:10 pm
BYAPP,SQUID AC,0.9.1.1
INFO,MPMS3 Measurement Release 1.1.17 Build 99, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1291,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM360,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC246,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI371,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Rublev_YellowOchreDark,SAMPLE_MATERIAL
INFO,cotton,SAMPLE_COMMENT
INFO,9.591,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.59,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,LS Wavelength (nm),LS Status (code),VSDO 03,VSDO 04,VSDO 05,VSDO 06,VSDO 07,VSDO 08,VSDO 09,VSDO 10,VSDO 11,VSDO 12,VSDO 13,VSDO 14,VSDO 15,VSDO 16,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3932814328.80752,300.0009765625,69999.8125,0.0342714473198116,5.51064594618525e-06,1,2,11.9032497406006,5.00888952414498,33.7399989366531,46.0053056925057,6.53698026784871,100,1.91072649695453e-05,,,,,,,,,,,,,,,,,,,,,300.0009765625,300.0009765625,69999.8125,69999.8125,48.4828537908513,4.96402721202254,9.86788654327393,24,1,0,0,1,0.238494873046875,34.7018585205078,1,4,1,300.0009765625,0,3158316736,300.0009765625,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932814332.54419,300.000823974609,69999.7734375,0.0342691259281452,6.99667958238299e-06,1,2,11.9032497406006,5.00958405782033,33.7399989366531,46.0111719222502,6.53720851257725,100,1.86481013921482e-05,,,,,,,,,,,,,,,,,,,,,300.000823974609,300.000823974609,69999.7734375,69999.7734375,48.3636554416686,4.96289761907957,9.87912464141846,24,1,0,0,1,0.239105224609375,33.2355842590332,1,6,1,300.000823974609,0,3158316832,300.000823974609,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932814334.83683,300.000564575195,69792.09375,0.0342235831126474,7.783586381249e-06,1,2,11.9032497406006,5.00914165949165,33.7399989366531,45.9584188688143,6.42841734170065,100,-5.80101798215119e-05,,,,,,,,,,,,,,,,,,,,,300.000427246094,300.000701904297,69692.5546875,69891.6328125,48.4508070215628,4.96243747051978,9.87976551055908,20,1,68,0,0,0.248565673828125,33.2355842590332,1,6,1,300.000427246094,0,3158316416,300.000564575195,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932814337.49116,300.000457763672,69528.3515625,0.0341480740227648,6.24386044849036e-06,1,2,11.9032497406006,5.00914165949165,33.7399989366531,45.8588090308007,6.4015850871275,100,-6.76439270143421e-05,,,,,,,,,,,,,,,,,,,,,300.000396728516,300.000518798828,69493.5078125,69563.1953125,48.4250132804282,4.96243747051978,9.87789630889893,23,1,68,0,0,0.248260498046875,33.2355842590332,1,6,1,300.000396728516,0,3158316768,300.000457763672,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932814339.50569,300.000595092773,69329.26953125,0.0340747364653827,7.00353524086565e-06,1,2,11.9032497406006,5.00873591230126,33.7399989366531,45.7599372379504,6.35329428113896,100,-9.36025269589983e-05,,,,,,,,,,,,,,,,,,,,,300.000457763672,300.000732421875,69294.4296875,69364.109375,48.439473408034,4.96396801462864,9.86728763580322,20,1,68,0,0,0.241622924804687,33.2355842590332,1,6,1,300.000732421875,0,3158316704,300.000595092773,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932814341.51655,300.000289916992,69130.06640625,0.0339950930088872,8.42280856443912e-06,1,2,11.9032497406006,5.00873591230126,33.7399989366531,45.6525276476796,6.34165295129448,100,-9.09074582472157e-05,,,,,,,,,,,,,,,,,,,,,300.000122070313,300.000457763672,69095.1796875,69164.953125,48.5453840723898,4.96396801462864,9.86400032043457,20,1,68,0,0,0.2484130859375,33.7243423461914,1,6,1,300.000122070313,0,3158316640,300.000289916992,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932814343.56388,300.000228881836,68925.97265625,0.0339070440481617,7.49120769729556e-06,1,2,11.9032497406006,5.00890804138071,33.7399989366531,45.5359954561787,6.32887276156977,100,-8.80928642853495e-05,,,,,,,,,,,,,,,,,,,,,300.000030517578,300.000427246094,68896.1640625,68955.78125,48.4121164098609,4.9633771404145,9.86421489715576,20,1,68,0,0,0.2398681640625,33.2355842590332,1,6,1,300.000427246094,0,3158316448,300.000228881836,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932814345.53685,300.00065612793,68731.70703125,0.0338256662853784,6.91798264116518e-06,1,2,11.9032497406006,5.00854952396612,33.7399989366531,45.4216544266943,6.31670797010065,100,-8.5060155924022e-05,,,,,,,,,,,,,,,,,,,,,300.000610351562,300.000701904297,68696.765625,68766.6484375,48.4539335356397,4.96576946792627,9.87355041503906,20,1,68,0,0,0.242919921875,31.2805480957031,1,6,1,300.000610351562,0,3158316608,300.00065612793,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932814347.61693,300.000305175781,68522.3671875,0.0337427411308642,6.39385479517446e-06,1,2,11.9032497406006,5.00854952396612,33.7399989366531,45.3104483428617,6.30018258022588,100,-8.56541366683114e-05,,,,,,,,,,,,,,,,,,,,,300.000274658203,300.000335693359,68487.5546875,68557.1796875,48.4257949089474,4.96576946792627,9.87675476074219,21,1,68,0,0,0.24139404296875,32.7468223571777,1,6,1,300.000274658203,0,3158316512,300.000305175781,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932814349.62151,300.000106811523,68323.3046875,0.0336603882895214,7.9477222929626e-06,1,2,11.9032497406006,5.00822030068195,33.7399989366531,45.1947755003261,6.2908885895854,100,-8.030498309098e-05,,,,,,,,,,,,,,,,,,,,,300.000091552734,300.000122070313,68288.40625,68358.203125,48.4531519071205,4.96798482615913,9.86921882629395,22,1,68,0,0,0.233001708984375,33.2355842590332,1,6,1,300.000122070313,0,3158316416,300.000106811523,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932814351.59868,300.000411987305,68124.13671875,0.0335825836588022,6.34115736107865e-06,1,2,11.9032497406006,5.00822030068195,33.7399989366531,45.0914235845522,6.26847715112612,100,-8.61947772850737e-05,,,,,,,,,,,,,,,,,,,,,300.000305175781,300.000518798828,68089.265625,68159.0078125,48.405863381707,4.96798482615913,9.86411094665527,22,1,68,0,0,0.2471923828125,31.7693061828613,1,6,1,300.000518798828,0,3158316864,300.000411987305,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
