Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3933008988.04089,08/16/2024,9:27 pm
BYAPP,SQUID AC,0.9.1.1
INFO,MPMS3 Measurement Release 1.1.17 Build 99, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1291,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM360,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC246,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI371,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Rublev-yellow-ocher-dark,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,9.591,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.57,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,LS Wavelength (nm),LS Status (code),VSDO 03,VSDO 04,VSDO 05,VSDO 06,VSDO 07,VSDO 08,VSDO 09,VSDO 10,VSDO 11,VSDO 12,VSDO 13,VSDO 14,VSDO 15,VSDO 16,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3933010141.55689,299.999603271484,0,0.000544252353347358,8.72793917863322e-08,1,2,11.9032497406006,5.00153696659055,33.9599996805191,0.729161724621273,0.103139486392098,10,-5.17294778954646e-08,,,,,,,,,,,,,,,,,,,,,299.999603271484,299.999603271484,0,0,48.6559845078609,4.91635218803522,8.91814613342285,24,1,0,0,1,0.22857666015625,32.7468223571777,1,1,1,299.999603271484,0,3158315936,299.999603271484,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933010333.05358,296.02392578125,0,0.000694453491292352,1.119873264934e-07,1,2,11.9032497406006,4.99281865881101,33.9399985969067,0.928104080178546,0.131443618025252,10,5.85333029430441e-08,,,,,,,,,,,,,,,,,,,,,296.020812988281,296.027038574219,0,0,48.8017582266975,4.95183040991093,8.93977737426758,24,1,0,0,1,0.238189697265625,33.7243423461914,1,1,1,296.020812988281,0,3158316640,296.02392578125,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933010526.39522,292.197372436523,0,0.000844221769582657,1.04889169267728e-07,1,2,11.9032497406006,4.99198670444223,33.9399985969067,1.12805004197816,0.159394574628074,10,-2.07521434745417e-07,,,,,,,,,,,,,,,,,,,,,292.195098876953,292.199645996094,0,0,48.8537365232263,4.95276725865775,8.94145774841309,24,1,0,0,1,0.230636596679687,33.7243423461914,1,1,1,292.195098876953,0,3158316832,292.197372436523,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933010722.13964,288.211074829102,0,0.00102025867516697,1.50072249316975e-07,1,2,11.9032497406006,4.99043306873415,33.9200012385845,1.36270397208101,0.192356224490177,10,-3.99243451475822e-07,,,,,,,,,,,,,,,,,,,,,288.208435058594,288.213714599609,0,0,48.8224713824571,4.95796147282751,8.93682098388672,24,1,0,0,1,0.2362060546875,33.2355842590332,1,1,1,288.208435058594,0,3158316608,288.211074829102,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933010919.40612,284.108474731445,0,0.00123961225082549,2.1015944999251e-07,1,2,11.9032497406006,4.98909542057586,33.9000001549721,1.65506246003309,0.233616282533151,10,-4.91629529907171e-07,,,,,,,,,,,,,,,,,,,,,284.102874755859,284.114074707031,0,0,48.8115285831879,4.96038416235573,8.92688941955566,24,1,0,0,1,0.234603881835938,34.2131004333496,1,1,1,284.102874755859,0,3158316704,284.108474731445,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933011114.66208,280.266983032227,0,0.00149438909985331,2.04604574139281e-07,1,2,11.9032497406006,4.98846400066759,33.8799990713596,1.9948421737208,0.281798893648488,10,-4.23851278973809e-07,,,,,,,,,,,,,,,,,,,,,280.262725830078,280.271240234375,0,0,48.8056663692936,4.96347265390391,8.90635013580322,24,1,0,0,1,0.234832763671875,33.7243423461914,1,1,1,280.262725830078,0,3158316704,280.266983032227,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933011310.99452,276.295455932617,0,0.0017934832926556,2.70835369999848e-07,1,2,11.9032497406006,4.98833179234318,33.8600017130375,2.39399104641306,0.338324931425316,10,-4.01552818105042e-07,,,,,,,,,,,,,,,,,,,,,276.29345703125,276.297454833984,0,0,48.9686359155533,4.96390174476776,8.89125728607178,24,1,0,0,1,0.234909057617187,33.7243423461914,1,1,1,276.29345703125,0,3158316480,276.295455932617,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933011509.79256,272.319396972656,0,0.00209521438129462,2.82441986368314e-07,1,2,11.9032497406006,4.98671614976011,33.840000629425,2.79545627670458,0.39524147265082,10,-3.31720498448175e-07,,,,,,,,,,,,,,,,,,,,,272.314819335938,272.323974609375,0,0,48.8638976939763,4.96810801154383,8.87457942962647,24,1,0,0,1,0.236129760742187,34.7018585205078,1,1,1,272.314819335938,0,3158317024,272.319396972656,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933011706.14355,268.349685668945,0,0.00237984428014089,3.44037532696903e-07,1,2,11.9032497406006,4.98646266336403,33.8299982249737,3.17496983059783,0.449018166316542,10,-2.8665448237456e-07,,,,,,,,,,,,,,,,,,,,,268.347320556641,268.35205078125,0,0,48.8310692961686,4.97085288944649,8.85486316680908,24,1,0,0,1,0.236740112304687,33.7243423461914,1,1,1,268.347320556641,0,3158316992,268.349685668945,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933011901.44579,264.253372192383,0,0.00264650750752903,4.36650922763987e-07,1,2,11.9032497406006,4.98522829544306,33.7999984622002,3.52947561644151,0.499350341593439,10,-1.69172184930949e-07,,,,,,,,,,,,,,,,,,,,,264.248504638672,264.258239746094,0,0,48.8201264968994,4.97496728607947,8.83045864105225,24,1,0,0,1,0.243301391601562,33.7243423461914,1,1,1,264.248504638672,0,3158316928,264.253372192383,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
