[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3919414257.46816,03/12/2024,2:10 pm
BYAPP,SQUID AC,0.9.1.1
INFO,MPMS3 Measurement Release 1.1.17 Build 99, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1291,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM360,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC246,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI371,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Goethite STD-2,SAMPLE_MATERIAL
INFO,eico,SAMPLE_COMMENT
INFO,28.2,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.05,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,LS Wavelength (nm),LS Status (code),VSDO 03,VSDO 04,VSDO 05,VSDO 06,VSDO 07,VSDO 08,VSDO 09,VSDO 10,VSDO 11,VSDO 12,VSDO 13,VSDO 14,VSDO 15,VSDO 16,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3919414980.22144,299.999755859375,69999.6484375,0.0692826440060501,1.10811748235082e-05,1,2,11.9032497406006,4.9916106420509,32.2499983012676,90.4115021855457,12.832344885107,100,2.6787427068962e-05,,,,,,,,,,,,,,,,,,,,,299.999755859375,299.999755859375,69999.6484375,69999.6484375,48.3851502259474,4.91031814219744,9.33687877655029,24,1,0,0,1,0.232009887695313,34.7018585205078,1,4,1,299.999755859375,0,3158316864,299.999755859375,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3919414983.88675,300.00048828125,69999.5703125,0.0692836757116439,8.26558005041194e-06,1,2,11.9032497406006,4.99143441340767,32.260000705719,90.4081363631325,12.8336285929512,100,2.81270361760912e-05,,,,,,,,,,,,,,,,,,,,,300.00048828125,300.00048828125,69999.5703125,69999.5703125,48.2702508336205,4.91043184538972,9.32710742950439,24,1,0,0,1,0.234451293945313,34.2131004333496,1,6,1,300.00048828125,0,3158316832,300.00048828125,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3919414986.25026,299.999893188477,69787.45703125,0.069113133566009,1.89539499720101e-05,1,2,11.9032497406006,4.99147665586696,32.2499983012676,90.1985197681211,12.7184331212155,100,-3.69010768017122e-05,,,,,,,,,,,,,,,,,,,,,299.999816894531,299.999969482422,69692.90625,69882.0078125,48.3206658731109,4.9100650317498,9.32484817504883,21,1,68,0,0,0.231094360351562,33.2355842590332,1,6,1,299.999816894531,0,3158316832,299.999893188477,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3919414988.9588,299.99983215332,69513.703125,0.0689065828748718,1.39290584776011e-05,1,2,11.9032497406006,4.99147643841531,32.2499983012676,89.929231267956,12.6784213157612,100,-3.83425983305374e-05,,,,,,,,,,,,,,,,,,,,,299.999755859375,299.999908447266,69483.8203125,69543.5859375,48.2772854902936,4.91009992479728,9.326171875,21,1,68,0,0,0.235214233398438,33.2355842590332,1,6,1,299.999908447266,0,3158316928,299.99983215332,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3919414990.89925,299.999618530273,69324.578125,0.0687172858815643,1.56311139486877e-05,1,2,11.9032497406006,4.99137395027749,32.2499983012676,89.6817027646903,12.6284035333396,100,-4.97351908115309e-05,,,,,,,,,,,,,,,,,,,,,299.999542236328,299.999694824219,69284.71875,69364.4375,48.3288729725628,4.90989883515527,9.32560157775879,22,1,68,0,0,0.240631103515625,34.7018585205078,1,6,1,299.999694824219,0,3158316800,299.999618530273,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3919414992.90482,299.999572753906,69125.3515625,0.0684989519236646,1.70480061795952e-05,1,2,11.9032497406006,4.99137395027749,32.2499983012676,89.3945715652976,12.6037338926931,100,-3.75910297543668e-05,,,,,,,,,,,,,,,,,,,,,299.99951171875,299.999633789063,69085.5234375,69165.1796875,48.4125072241205,4.90989883515527,9.3365650177002,21,1,68,0,0,0.233230590820313,33.7243423461914,1,6,1,299.99951171875,0,3158316640,299.999572753906,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3919414994.94542,299.999694824219,68921.2265625,0.0683044695384882,1.47894991240758e-05,1,2,11.9032497406006,4.99097853246379,32.2499983012676,89.1314364168629,12.562608103301,100,-4.05463454979422e-05,,,,,,,,,,,,,,,,,,,,,299.999542236328,299.999847412109,68886.421875,68956.03125,48.4082082672647,4.91142024555694,9.33974170684814,20,1,68,0,0,0.233383178710938,33.7243423461914,1,6,1,299.999847412109,0,3158316704,299.999694824219,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3919414996.95471,300,68721.9375,0.0681056442640529,1.45345694371269e-05,1,2,11.9032497406006,4.99097853246379,32.2499983012676,88.8727192318906,12.5208639542354,100,-4.4443240491915e-05,,,,,,,,,,,,,,,,,,,,,300,300,68686.9375,68756.9375,48.4519794643417,4.91142024555694,9.33055210113525,20,1,68,0,0,0.2325439453125,31.7693061828613,1,6,1,300,0,3158316736,300,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3919414998.93606,300.000045776367,68522.58984375,0.0679012245060559,1.60894678300678e-05,1,2,11.9032497406006,4.99078301240711,32.2499983012676,88.6011948084649,12.4819840967882,100,-4.47859803245895e-05,,,,,,,,,,,,,,,,,,,,,300,300.000091552734,68487.7265625,68557.453125,48.3593564848128,4.91183393614513,9.32762241363525,21,1,68,0,0,0.232315063476562,33.2355842590332,1,6,1,300.000091552734,0,3158316896,300.000045776367,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3919415000.9723,300.000259399414,68318.63671875,0.0676904852947629,1.41858208940192e-05,1,2,11.9032497406006,4.99088972351794,32.260000705719,88.3297970114456,12.4369590664696,100,-4.98116911594463e-05,,,,,,,,,,,,,,,,,,,,,300.000213623047,300.000305175781,68278.7890625,68358.484375,48.3828053403897,4.91100066273486,9.33697032928467,20,1,68,0,0,0.2294921875,33.2355842590332,1,6,1,300.000213623047,0,3158316896,300.000259399414,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
