[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3919417795.53524,03/12/2024,3:09 pm
BYAPP,SQUID AC,0.9.1.1
INFO,MPMS3 Measurement Release 1.1.17 Build 99, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1291,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM360,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC246,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI371,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Goethite STD-2,SAMPLE_MATERIAL
INFO,eico,SAMPLE_COMMENT
INFO,28.2,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.05,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,LS Wavelength (nm),LS Status (code),VSDO 03,VSDO 04,VSDO 05,VSDO 06,VSDO 07,VSDO 08,VSDO 09,VSDO 10,VSDO 11,VSDO 12,VSDO 13,VSDO 14,VSDO 15,VSDO 16,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3919418904.41144,299.999786376953,0,0.000289438536116987,9.08492737670284e-08,1,2,11.9032497406006,4.97662964281066,32.2499983012676,0.407769844035286,0.0574268643827073,100,-2.21486334523145e-07,,,,,,,,,,,,,,,,,,,,,299.999786376953,299.999786376953,0,0,48.6493406654475,4.96427336860701,9.60232925415039,24,1,0,0,1,0.235214233398438,33.7243423461914,1,1,1,299.999786376953,0,3158316096,299.999786376953,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3919419095.48261,296.029373168945,0,0.000295950205346834,9.38171114629361e-08,1,2,11.9032497406006,4.9869164685854,32.2499983012676,0.418140257160005,0.0589767357259783,100,-1.58409679570407e-07,,,,,,,,,,,,,,,,,,,,,296.025207519531,296.033538818359,0,0,48.6126041250436,4.96371073736225,9.59472274780273,24,1,0,0,1,0.235519409179687,32.7468223571777,1,1,1,296.025207519531,0,3158316480,296.029373168945,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3919419295.30915,292.166625976562,0,0.000302652957277339,5.78503784628979e-08,1,2,11.9032497406006,4.98716846871091,32.2300009429455,0.427601424798259,0.0605939838930537,10,5.32948272023476e-08,,,,,,,,,,,,,,,,,,,,,292.166625976562,292.166625976562,0,0,48.5672696709282,4.96298261355027,9.59161376953125,24,1,0,0,1,0.24078369140625,34.2131004333496,1,1,1,292.166625976562,0,3158316864,292.166625976562,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3919419492.57291,288.210296630859,0,0.000309603675861477,5.58787953178142e-08,1,2,11.9032497406006,4.98723582367786,32.209999859333,0.437470280917613,0.0617020416255177,10,-1.66558207871963e-07,,,,,,,,,,,,,,,,,,,,,288.207366943359,288.213226318359,0,0,48.3941389539186,4.96480114877613,9.59241962432861,24,1,0,0,1,0.23468017578125,34.7018585205078,1,1,1,288.207366943359,0,3158316832,288.210296630859,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3919419691.94163,284.105224609375,0,0.000316811625969583,6.07378205880987e-08,1,2,11.9032497406006,4.9863321800331,32.1899987757206,0.447540357265178,0.0631305559522819,10,-1.64189929469963e-07,,,,,,,,,,,,,,,,,,,,,284.098968505859,284.111480712891,0,0,48.4257949089474,4.96562615301786,9.5685224533081,24,1,0,0,1,0.235748291015625,34.7018585205078,1,1,1,284.098968505859,0,3158316672,284.105224609375,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3919419887.19324,280.268753051758,0,0.000323284124011268,6.36100717156784e-08,1,2,11.9032497406006,4.98658825636039,32.1700014173985,0.456700494140213,0.0645381546393459,10,-7.96307702907447e-08,,,,,,,,,,,,,,,,,,,,,280.264678955078,280.272827148438,0,0,48.5809481700148,4.96626005530586,9.53422355651855,24,1,0,0,1,0.237274169921875,34.7018585205078,1,1,1,280.264678955078,0,3158316832,280.268753051758,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3919420084.56813,276.164993286133,0,0.000330149473706607,5.29617708079624e-08,1,2,11.9032497406006,4.98555702690408,32.150000333786,0.466275681496286,0.065806920621272,10,-1.45558026562611e-07,,,,,,,,,,,,,,,,,,,,,276.156341552734,276.173645019531,0,0,48.5887644552071,4.9687582030288,9.50642395019531,24,1,0,0,1,0.237808227539062,34.7018585205078,1,1,1,276.156341552734,0,3158316672,276.164993286133,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3919420282.34586,272.334976196289,0,0.000336115706829745,4.98801850095227e-08,1,2,11.9032497406006,4.98483102945309,32.150000333786,0.474593266801515,0.067065558553962,10,-8.36252743408842e-08,,,,,,,,,,,,,,,,,,,,,272.331207275391,272.338745117187,0,0,48.5911093407648,4.97047875673567,9.48042011260986,24,1,0,0,1,0.238418579101562,34.7018585205078,1,1,1,272.331207275391,0,3158316864,272.334976196289,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3919420478.58009,268.222946166992,0,0.000342851948264279,4.13058220668889e-08,1,2,11.9032497406006,4.98502804366271,32.1299992501736,0.484128774863302,0.0684334730825695,10,-6.973438026152e-08,,,,,,,,,,,,,,,,,,,,,268.218658447266,268.227233886719,0,0,48.5879828266878,4.96918913876077,9.46598243713379,24,1,0,0,1,0.23895263671875,34.7018585205078,1,1,1,268.218658447266,0,3158316864,268.222946166992,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3919420671.8384,264.379760742187,0,0.00034920775957433,5.53700546484533e-08,1,2,11.9032497406006,4.98559459630341,32.1099981665611,0.493191822085621,0.0696446370800927,10,-1.24288369554171e-07,,,,,,,,,,,,,,,,,,,,,264.375640869141,264.383880615234,0,0,48.581729798534,4.96910570917316,9.43092823028564,24,1,0,0,1,0.243759155273438,35.190616607666,1,1,1,264.375640869141,0,3158316832,264.379760742187,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
