[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3919447428.2141,03/12/2024,11:23 pm
BYAPP,SQUID AC,0.9.1.1
INFO,MPMS3 Measurement Release 1.1.17 Build 99, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1291,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM360,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC246,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI371,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Goethite STD-2,SAMPLE_MATERIAL
INFO,eico,SAMPLE_COMMENT
INFO,28.2,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.05,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,LS Wavelength (nm),LS Status (code),VSDO 03,VSDO 04,VSDO 05,VSDO 06,VSDO 07,VSDO 08,VSDO 09,VSDO 10,VSDO 11,VSDO 12,VSDO 13,VSDO 14,VSDO 15,VSDO 16,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3919448762.15286,9.99853801727295,0,0.00161297760990599,2.72297914731172e-07,1,2,11.9032497406006,4.98194435705444,31.3199982047081,2.27538543671057,0.323557802749196,10,1.13821494672729e-06,,,,,,,,,,,,,,,,,,,,,9.99853801727295,9.99853801727295,0,0,48.4586233067551,4.98173079577808,6.44681644439697,24,1,0,0,1,0.23681640625,33.2355842590332,1,1,1,9.99853801727295,0,3158316480,9.99853801727295,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3919448967.75615,13.9720525741577,0,0.001553630863681,2.66570012105504e-07,1,2,11.9032497406006,4.98133105576358,31.3199982047081,2.19129405428504,0.311557925337031,10,1.06419448281263e-06,,,,,,,,,,,,,,,,,,,,,13.9720525741577,13.9720525741577,0,0,48.4836354193705,4.98354140898732,6.83992338180542,24,1,0,0,1,0.245895385742187,33.7243423461914,1,1,1,13.9720525741577,0,3158316672,13.9720525741577,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3919449153.20812,17.9454679489136,0,0.00151377783975051,2.51370805672141e-07,1,2,11.9032497406006,4.9783716796276,31.3199982047081,2.13334569738025,0.303025087137464,10,8.12746420631516e-07,,,,,,,,,,,,,,,,,,,,,17.9454460144043,17.9454898834229,0,0,48.5059118321686,4.99547964774733,7.02971982955933,24,1,0,0,1,0.245208740234375,34.2131004333496,1,1,1,17.9454460144043,0,3158316288,17.9454679489136,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3919449341.44974,21.9178333282471,0,0.00147202270986612,2.04487325536533e-07,1,2,11.9032497406006,4.97965579540618,31.3199982047081,2.07526720275688,0.294662497293782,10,7.0413582984216e-07,,,,,,,,,,,,,,,,,,,,,21.9178066253662,21.9178600311279,0,0,48.4656579634282,4.99224992667661,7.17748832702637,24,1,0,0,1,0.238800048828125,33.2355842590332,1,1,1,21.9178066253662,0,3158316896,21.9178333282471,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3919449532.18926,25.890398979187,0,0.00142905794171748,1.3983291829957e-07,1,2,11.9032497406006,4.99824752369602,31.3199982047081,2.02518613151788,0.287913605833338,10,9.58289970592844e-07,,,,,,,,,,,,,,,,,,,,,25.8903045654297,25.8904933929443,0,0,48.6012705115148,4.99857573841393,7.30009078979492,24,1,0,0,1,0.244293212890625,33.7243423461914,1,1,1,25.8903045654297,0,3158316704,25.890398979187,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3919449726.03109,29.863037109375,0,0.00138459512327999,1.67140056010033e-07,1,2,11.9032497406006,4.99715676819069,31.3199982047081,1.96161456430573,0.278606083072834,10,7.23699225140771e-07,,,,,,,,,,,,,,,,,,,,,29.8629741668701,29.8631000518799,0,0,48.5449932581301,5.00235294478737,7.3711953163147,24,1,0,0,1,0.242919921875,36.6568908691406,1,1,1,29.8629741668701,0,3158316896,29.863037109375,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3919449921.27195,33.8351097106934,0,0.00134017121174953,2.11156408878437e-07,1,2,11.9032497406006,4.99716129961283,31.3199982047081,1.89874153560576,0.269230888531006,10,3.62387709672365e-07,,,,,,,,,,,,,,,,,,,,,33.8350982666016,33.8351211547852,0,0,48.4949690328994,5.00338531696417,7.46449089050293,24,1,0,0,1,0.249099731445313,34.7018585205078,1,1,1,33.8351211547852,0,3158316640,33.8351097106934,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3919450115.56179,37.8069152832031,0,0.00129336239824454,1.8451217161277e-07,1,2,11.9032497406006,4.99670674704983,31.3300006091595,1.83219772334942,0.259741175024422,10,3.08601602845773e-07,,,,,,,,,,,,,,,,,,,,,37.806812286377,37.8070182800293,0,0,48.5789940987167,5.00453664106846,7.54544830322266,24,1,0,0,1,0.250625610351562,34.7018585205078,1,1,1,37.8070182800293,0,3158316864,37.8069152832031,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3919450310.91749,41.7786750793457,0,0.00124682986541425,2.47721440478129e-07,1,2,11.9032497406006,4.9963205168334,31.3300006091595,1.76609160602096,0.250344281815233,10,2.7823472407013e-07,,,,,,,,,,,,,,,,,,,,,41.7784194946289,41.7789306640625,0,0,48.4093807100436,5.00692458876934,7.60568284988403,24,1,0,0,1,0.25054931640625,34.2131004333496,1,1,1,41.7789306640625,0,3158316512,41.7786750793457,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3919450508.18039,45.7489566802978,0,0.0012002908186208,1.56580154462523e-07,1,2,11.9032497406006,4.99660216333134,31.3300006091595,1.70034609842011,0.240726256345978,10,4.11697565797524e-08,,,,,,,,,,,,,,,,,,,,,45.7485427856445,45.7493705749512,0,0,48.5090383462455,5.00663649410596,7.68335056304932,24,1,0,0,1,0.248870849609375,34.7018585205078,1,1,1,45.7493705749512,0,3158316768,45.7489566802978,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
