[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3918483095.22079,03/01/2024,7:30 pm
BYAPP,SQUID AC,0.9.1.1
INFO,MPMS3 Measurement Release 1.1.17 Build 99, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1291,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM360,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC246,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI371,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Synt_Hematite,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,35.39,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.34,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,LS Wavelength (nm),LS Status (code),VSDO 03,VSDO 04,VSDO 05,VSDO 06,VSDO 07,VSDO 08,VSDO 09,VSDO 10,VSDO 11,VSDO 12,VSDO 13,VSDO 14,VSDO 15,VSDO 16,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3918484415.63498,9.99970531463623,0,0.000699740610110505,1.44145312097452e-07,1,2,11.9032497406006,5.01056817525391,35.2800004184246,0.960352702965616,0.136897728487097,10,7.30993641637024e-07,,,,,,,,,,,,,,,,,,,,,9.99970531463623,9.99970531463623,0,0,48.9432329886783,4.96706245292187,6.08479118347168,24,1,0,0,1,0.242767333984375,33.7243423461914,1,1,1,9.99970531463623,0,3158316416,9.99970531463623,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918484607.06687,13.9716143608093,0,0.000802906466912684,9.14054222260781e-08,1,2,11.9032497406006,4.99963615934231,35.2700017392635,1.09867546487662,0.155975904410871,10,3.53596072986458e-07,,,,,,,,,,,,,,,,,,,,,13.9715547561646,13.9716739654541,0,0,48.7298484029282,4.97437802962973,6.39302349090576,24,1,0,0,1,0.242919921875,34.2131004333496,1,1,1,13.9716739654541,0,3158316640,13.9716143608093,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918484793.81148,17.9458141326904,0,0.000801736835194191,9.75073691869707e-08,1,2,11.9032497406006,4.99917290082424,35.2700017392635,1.09691907616778,0.15582621611623,10,4.28688921352955e-07,,,,,,,,,,,,,,,,,,,,,17.9457988739014,17.9458293914795,0,0,48.8009765981782,4.97476472366673,6.55599975585938,24,1,0,0,1,0.245513916015625,34.2131004333496,1,1,1,17.9457988739014,0,3158316576,17.9458141326904,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918484984.08758,21.917839050293,0,0.000801204936503846,1.17489788666469e-07,1,2,11.9032497406006,4.99859897667971,35.2700017392635,1.09602112060001,0.155657764859572,10,3.97379223350746e-07,,,,,,,,,,,,,,,,,,,,,21.9178256988525,21.9178524017334,0,0,48.8091836976302,4.97501228473331,6.67602872848511,24,1,0,0,1,0.233840942382813,36.1681327819824,1,1,1,21.9178524017334,0,3158316800,21.917839050293,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918485175.41115,25.8904447555542,0,0.000800894816424929,1.14920295781878e-07,1,2,11.9032497406006,4.99793148744477,35.2700017392635,1.09541439374905,0.155412932616426,10,2.76813935997209e-07,,,,,,,,,,,,,,,,,,,,,25.8904190063477,25.8904705047607,0,0,48.7474350446109,4.97642703355938,6.74181604385376,24,1,0,0,1,0.241622924804687,34.2131004333496,1,1,1,25.8904190063477,0,3158316736,25.8904447555542,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918485373.30397,29.8631896972656,0,0.000800471517131226,1.49536581364402e-07,1,2,11.9032497406006,4.99799094591881,35.2700017392635,1.09463513281672,0.156877124301728,1,1.47175991705781e-06,,,,,,,,,,,,,,,,,,,,,29.8631896972656,29.8631896972656,0,0,48.8013674124379,4.98053543833537,6.81399583816528,24,1,0,0,1,0.244140625,33.2355842590332,1,1,1,29.8631896972656,0,3158316640,29.8631896972656,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918485566.49678,33.8351497650146,0,0.00080045934073565,1.51722413907145e-07,1,2,11.9032497406006,4.99640429209966,35.2700017392635,1.09414768218298,0.156698912648203,1,1.38948742874204e-06,,,,,,,,,,,,,,,,,,,,,33.8350296020508,33.8352699279785,0,0,48.8033214837359,4.98645929197619,6.90548086166382,24,1,0,0,1,0.237579345703125,36.6568908691406,1,1,1,33.8352699279785,0,3158316832,33.8351497650146,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918485761.75939,37.8071556091309,0,0.000800095257289368,1.11012480821233e-07,1,2,11.9032497406006,4.99610349668587,35.2800004184246,1.09358093109585,0.156452053983601,1,1.26306786940224e-06,,,,,,,,,,,,,,,,,,,,,37.8069610595703,37.8073501586914,0,0,48.754469701284,4.98737608593766,6.94073438644409,24,1,0,0,1,0.238876342773438,33.2355842590332,1,1,1,37.8073501586914,0,3158316672,37.8071556091309,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918485959.03379,41.7786865234375,0,0.000800440680967812,1.14931931218238e-07,1,2,11.9032497406006,4.99589911258396,35.2800004184246,1.0940193086537,0.156306898141511,1,1.10579093684938e-06,,,,,,,,,,,,,,,,,,,,,41.7783203125,41.779052734375,0,0,48.7833899564955,4.9869356315266,6.99183797836304,24,1,0,0,1,0.243988037109375,35.190616607666,1,1,1,41.779052734375,0,3158316864,41.7786865234375,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918486155.33294,45.7488975524902,0,0.000800902328739954,1.30059264159203e-07,1,2,11.9032497406006,4.99624351967456,35.2800004184246,1.09474926692818,0.156458353681435,1,1.14223404678057e-06,,,,,,,,,,,,,,,,,,,,,45.7485198974609,45.7492752075195,0,0,48.7751828570436,4.98722120558467,7.07675218582153,24,1,0,0,1,0.238418579101562,34.7018585205078,1,1,1,45.7492752075195,0,3158316864,45.7488975524902,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
