[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3940128511.33373,11/07/2024,8:04 am
BYAPP,SQUID AC,0.9.1.1
INFO,MPMS3 Measurement Release 1.1.17 Build 99, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1291,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM360,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC246,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI371,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,MaghemiteV2.1,SAMPLE_MATERIAL
INFO,No Eico,SAMPLE_COMMENT
INFO,1.5,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,0.5,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Brass,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.57,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,LS Wavelength (nm),LS Status (code),VSDO 03,VSDO 04,VSDO 05,VSDO 06,VSDO 07,VSDO 08,VSDO 09,VSDO 10,VSDO 11,VSDO 12,VSDO 13,VSDO 14,VSDO 15,VSDO 16,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3940129240.85576,299.999786376953,69999.7109375,0.0718753867876258,1.25902087084326e-05,1,2,11.9032497406006,5.00912367712307,32.2499983012676,99.2456433570811,14.1111268200007,100,4.81221487130815e-05,,,,,,,,,,,,,,,,,,,,,299.999786376953,299.999786376953,69999.7109375,69999.7109375,49.5595470760918,5.09960427229844,9.11840724945068,24,1,0,0,1,0.245590209960938,34.2131004333496,1,4,1,299.999786376953,0,3158316352,299.999786376953,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3940129244.4732,299.998931884766,69999.7265625,0.0718828141729588,8.32270845779902e-06,1,2,11.9032497406006,5.00928881512374,32.2499983012676,99.260536992018,14.1127174152978,100,4.77284230504311e-05,,,,,,,,,,,,,,,,,,,,,299.998931884766,299.998931884766,69999.7265625,69999.7265625,49.6736648398995,5.09892613020699,9.12668800354004,24,1,0,0,1,0.248641967773438,35.190616607666,1,6,1,299.998931884766,0,3158316512,299.998931884766,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3940129246.74769,299.998962402344,69792.421875,0.0719031589321552,1.18993468021557e-05,1,2,11.9032497406006,5.00921571312566,32.2499983012676,99.2932891291543,14.0692301159431,100,1.13208579165797e-05,,,,,,,,,,,,,,,,,,,,,299.998931884766,299.998992919922,69692.8828125,69891.9609375,49.5939387309379,5.09839224399016,9.12749290466309,22,1,68,0,0,0.245895385742187,34.2131004333496,1,6,1,299.998992919922,0,3158316320,299.998962402344,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3940129249.3911,299.999221801758,69528.65625,0.0718906944205756,1.21634397316627e-05,1,2,11.9032497406006,5.00899979970819,32.2499983012676,99.2729385334174,14.0459411106109,100,-4.11987235131879e-06,,,,,,,,,,,,,,,,,,,,,299.999176025391,299.999267578125,69493.78125,69563.53125,49.7162635941976,5.09998707035028,9.12714004516602,20,1,68,0,0,0.249404907226562,34.7018585205078,1,6,1,299.999267578125,0,3158316736,299.999221801758,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3940129251.41941,299.999816894531,69329.59375,0.071885209687454,1.2669571595322e-05,1,2,11.9032497406006,5.00878735678086,32.2499983012676,99.2633219111217,14.0169759410749,100,-2.50069792436915e-05,,,,,,,,,,,,,,,,,,,,,299.999786376953,299.999847412109,69294.7421875,69364.4453125,49.5372706632937,5.1004312188489,9.11654376983643,19,1,68,0,0,0.2459716796875,34.7018585205078,1,6,1,299.999847412109,0,3158316224,299.999816894531,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3940129253.42227,300.000076293945,69130.3828125,0.0718640652750072,1.06259831520344e-05,1,2,11.9032497406006,5.00878735678086,32.2499983012676,99.2335605323668,14.016837140601,100,-2.19245607418514e-05,,,,,,,,,,,,,,,,,,,,,300.000061035156,300.000091552734,69095.515625,69165.25,49.616215143736,5.1004312188489,9.11386585235596,21,1,68,0,0,0.250015258789062,35.6793746948242,1,6,1,300.000061035156,0,3158316576,300.000076293945,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3940129255.42221,300.00016784668,68931.26953125,0.0718783488871972,1.24678042598225e-05,1,2,11.9032497406006,5.00819990609136,32.2499983012676,99.2360123814731,14.0246125458017,100,-1.63064790245013e-05,,,,,,,,,,,,,,,,,,,,,300.000122070313,300.000213623047,68896.46875,68966.0703125,49.5982376877937,5.10214322691393,9.12460899353027,19,1,68,0,0,0.248565673828125,35.190616607666,1,6,1,300.000213623047,0,3158316448,300.00016784668,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3940129257.45827,300.00065612793,68732.05859375,0.0718708276950237,1.20568941463752e-05,1,2,11.9032497406006,5.00819990609136,32.2499983012676,99.2256061103902,14.0233035318561,100,-1.61824265102444e-05,,,,,,,,,,,,,,,,,,,,,300.000640869141,300.000671386719,68697.1328125,68766.984375,49.5751796464764,5.10214322691393,9.12685394287109,18,1,68,0,0,0.247726440429687,35.190616607666,1,6,1,300.000671386719,0,3158316576,300.00065612793,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3940129259.46077,300.000900268555,68527.66015625,0.0718711759198819,1.12419254058169e-05,1,2,11.9032497406006,5.00790681710161,32.2499983012676,99.2172603026294,14.0273433986924,100,-1.22321346897509e-05,,,,,,,,,,,,,,,,,,,,,300.000823974609,300.0009765625,68487.8359375,68567.484375,49.6232498004091,5.10292735792369,9.1191463470459,19,1,68,0,0,0.2459716796875,34.7018585205078,1,6,1,300.000823974609,0,3158316608,300.000900268555,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3940129261.53378,300.000747680664,68323.66015625,0.0718438850526205,1.1986651492982e-05,1,2,11.9032497406006,5.00840570386824,32.2499983012676,99.192072724892,14.033142375044,100,-5.14423497968293e-06,,,,,,,,,,,,,,,,,,,,,300.000671386719,300.000823974609,68288.828125,68358.4921875,49.6951596241783,5.10090888337839,9.11511898040771,19,1,68,0,0,0.249481201171875,35.190616607666,1,6,1,300.000823974609,0,3158316640,300.000747680664,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
