[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3933137920.1549,08/18/2024,9:15 am
BYAPP,SQUID AC,0.9.1.1
INFO,MPMS3 Measurement Release 1.1.17 Build 99, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1291,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM360,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC246,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI371,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Magnetite Standard,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,3.32,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.12,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,LS Wavelength (nm),LS Status (code),VSDO 03,VSDO 04,VSDO 05,VSDO 06,VSDO 07,VSDO 08,VSDO 09,VSDO 10,VSDO 11,VSDO 12,VSDO 13,VSDO 14,VSDO 15,VSDO 16,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3933139326.67499,299.999771118164,1818.86828613281,0.148364682015221,0.00061744764502747,1,2,11.9032497406006,4.996931358512,35.3100001811981,221.38583273505,31.6360354894149,100,0.000228075642871774,,,,,,,,,,,,,,,,,,,,,299.999725341797,299.999816894531,1723.91345214844,1913.82312011719,49.0104530413321,5.00824872989967,9.94049263000488,13,1,68,0,0,0.243377685546875,33.2355842590332,1,6,1,299.999725341797,0,3158316192,299.999771118164,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933139329.36263,299.999221801758,1553.99127197266,0.141509169431007,0.000631446167940519,1,2,11.9032497406006,4.99640822382368,35.3100001811981,211.123407823217,30.1832333102851,100,0.000227935835478758,,,,,,,,,,,,,,,,,,,,,299.999206542969,299.999237060547,1524.00061035156,1583.98193359375,49.0639945948994,5.00925679370934,9.94778156280518,14,1,68,0,0,0.251235961914062,33.2355842590332,1,6,1,299.999206542969,0,3158316288,299.999221801758,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933139331.32034,299.998794555664,1354.10327148438,0.133273994489764,0.000688272989387218,1,2,11.9032497406006,4.99640822382368,35.3199988603592,198.838022889059,28.4195412803359,100,0.000209119197710356,,,,,,,,,,,,,,,,,,,,,299.998718261719,299.998870849609,1324.14978027344,1384.05676269531,48.9338534464475,5.00925679370934,9.94382286071777,17,1,68,0,0,0.245437622070313,33.7243423461914,1,6,1,299.998718261719,0,3158316288,299.998794555664,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933139333.31043,299.998825073242,1154.24005126953,0.123649595909081,0.000729429097312864,1,2,11.9032497406006,4.99532911090113,35.3199988603592,184.43012616793,26.3102515640512,100,0.000156052184242287,,,,,,,,,,,,,,,,,,,,,299.998779296875,299.998870849609,1114.2587890625,1194.22131347656,48.8705415363898,5.01060830161983,9.9335994720459,19,1,68,0,0,0.24566650390625,33.2355842590332,1,6,1,299.998870849609,0,3158316320,299.998825073242,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933139335.37092,299.999160766602,944.280944824219,0.113066181388132,0.000748549852172131,1,2,11.9032497406006,4.99532911090113,35.3199988603592,168.64480833868,24.0553163390333,100,0.000140380073015754,,,,,,,,,,,,,,,,,,,,,299.999084472656,299.999237060547,914.308898925781,974.252990722656,48.8396672098802,5.01060830161983,9.93504905700684,20,1,68,0,0,0.248794555664062,33.2355842590332,1,6,1,299.999237060547,0,3158316384,299.999160766602,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933139337.30194,299.999450683594,754.544403076172,0.101185715243837,0.000885362178464653,1,2,11.9032497406006,4.9949354876287,35.3100001811981,150.911730306633,21.4973122534243,100,0.00010392623768487,,,,,,,,,,,,,,,,,,,,,299.999359130859,299.999542236328,714.5322265625,794.556579589844,48.9037607484571,5.01102578932834,9.94564247131348,21,1,68,0,0,0.244979858398438,33.2355842590332,1,6,1,299.999542236328,0,3158316288,299.999450683594,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933139339.32708,299.99934387207,549.593078613281,0.0872736972015263,0.000982401105678702,1,2,11.9032497406006,4.99528410026899,35.3100001811981,130.18003151025,18.5120951897153,100,6.53394125226353e-05,,,,,,,,,,,,,,,,,,,,,299.999298095703,299.999389648438,514.557678222656,584.628479003906,48.9569114877648,5.01023047035741,9.94710636138916,21,1,68,0,0,0.251922607421875,32.2580642700195,1,6,1,299.999298095703,0,3158316448,299.99934387207,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933139341.38363,299.999313354492,349.754531860352,0.0715236970051267,0.00117135499937187,1,2,11.9032497406006,4.99528410026899,35.3199988603592,106.689285121071,15.154177717966,100,4.02999299009695e-05,,,,,,,,,,,,,,,,,,,,,299.999206542969,299.999420166016,314.743835449219,384.765228271484,48.9174392475436,5.01023047035741,9.93801116943359,21,1,68,0,0,0.244064331054687,33.2355842590332,1,6,1,299.999420166016,0,3158316320,299.999313354492,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933139343.43822,299.999526977539,139.795478820801,0.0528806469456892,0.00146916080900173,1,2,11.9032497406006,4.99547415185379,35.3100001811981,78.8908457804569,11.1586920131298,100,-5.88774743476109e-06,,,,,,,,,,,,,,,,,,,,,299.99951171875,299.999542236328,104.840423583984,174.750534057617,49.0170968837456,5.01048372332885,9.93920516967773,22,1,68,0,0,0.244979858398438,34.7018585205078,1,6,1,299.99951171875,0,3158316576,299.999526977539,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933139345.43012,299.999420166016,-55.1775436401367,0.0294583076269017,0.00181970633074694,1,2,11.9032497406006,4.99547415185379,35.3199988603592,43.9547661491703,6.1673366482242,100,-4.11268168798129e-05,,,,,,,,,,,,,,,,,,,,,299.999359130859,299.999481201172,-85.1434326171875,-25.2116546630859,48.9510492738706,5.01048372332885,9.93444156646729,22,1,68,0,0,0.243148803710938,33.7243423461914,1,6,1,299.999359130859,0,3158316320,299.999420166016,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
